outcome,block,model,slice,n,n_flat,n_up_forecasts,n_down_forecasts,hit_rate,p_up,p_down,p_flat,matched_base_rate,lift,mean_signed_body,median_signed_body
primary,disagree,test2,2022,73,0,42,31,0.3972602739726027,0.456,0.544,0.0,0.49336986301369873,-0.09610958904109601,-14.45890410958904,-114.5
primary,all_test1,test1,2022,243,0,111,132,0.48559670781893005,0.456,0.544,0.0,0.5038024691358025,-0.01820576131687246,-16.353909465020575,-7.5
primary,all_test1,test2,2022,243,0,122,121,0.42386831275720166,0.456,0.544,0.0,0.4998189300411523,-0.07595061728395064,-25.041152263374485,-34.75
primary,agree,test1,2023,174,0,103,71,0.5172413793103449,0.5604838709677419,0.43951612903225806,0.0,0.5111234705228032,0.006117908787541704,5.331896551724138,5.375
primary,agree,test2,2023,174,0,103,71,0.5172413793103449,0.5604838709677419,0.43951612903225806,0.0,0.5111234705228032,0.006117908787541704,5.331896551724138,5.375
primary,disagree,test1,2023,68,0,34,34,0.5147058823529411,0.5604838709677419,0.43951612903225806,0.0,0.5,0.014705882352941124,2.4926470588235294,3.375
primary,disagree,test2,2023,68,0,34,34,0.4852941176470588,0.5604838709677419,0.43951612903225806,0.0,0.5,-0.01470588235294118,-2.4926470588235294,-3.375
primary,all_test1,test1,2023,242,0,137,105,0.5165289256198347,0.5604838709677419,0.43951612903225806,0.0,0.5079978672354039,0.0085310583844308,4.534090909090909,5.375
primary,all_test1,test2,2023,242,0,137,105,0.5082644628099173,0.5604838709677419,0.43951612903225806,0.0,0.5079978672354039,0.00026659557451347293,3.1332644628099175,3.625
primary,agree,test1,2024,163,1,102,61,0.49079754601226994,0.5542168674698795,0.44176706827309237,0.004016064257028112,0.5121344272796708,-0.02133688126740091,-3.329754601226994,-2.5
primary,agree,test2,2024,163,1,102,61,0.49079754601226994,0.5542168674698795,0.44176706827309237,0.004016064257028112,0.5121344272796708,-0.02133688126740091,-3.329754601226994,-2.5
primary,disagree,test1,2024,78,0,34,44,0.5384615384615384,0.5542168674698795,0.44176706827309237,0.004016064257028112,0.49078364741015346,0.04767789105138498,7.894230769230769,12.25
primary,disagree,test2,2024,78,0,44,34,0.46153846153846156,0.5542168674698795,0.44176706827309237,0.004016064257028112,0.5052002883328185,-0.04366182679435693,-7.894230769230769,-12.25
primary,all_test1,test1,2024,241,1,136,105,0.5062240663900415,0.5542168674698795,0.44176706827309237,0.004016064257028112,0.5052242163675449,0.0009998500224965845,0.3029045643153527,3.25
primary,all_test1,test2,2024,241,1,146,95,0.48132780082987553,0.5542168674698795,0.44176706827309237,0.004016064257028112,0.5098901831391958,-0.028562382309320233,-4.8070539419087135,-10.0
primary,agree,test1,2025,159,0,95,64,0.42138364779874216,0.5344129554655871,0.46558704453441296,0.0,0.5067094441473786,-0.08532579634863646,-48.37106918238994,-31.0
primary,agree,test2,2025,159,0,95,64,0.42138364779874216,0.5344129554655871,0.46558704453441296,0.0,0.5067094441473786,-0.08532579634863646,-48.37106918238994,-31.0
primary,disagree,test1,2025,78,0,34,44,0.46153846153846156,0.5344129554655871,0.46558704453441296,0.0,0.4955880826326171,-0.03404962109415555,-34.666666666666664,-38.75
primary,disagree,test2,2025,78,0,44,34,0.5384615384615384,0.5344129554655871,0.46558704453441296,0.0,0.504411917367383,0.034049621094155436,34.666666666666664,38.75
primary,all_test1,test1,2025,237,0,129,108,0.4345991561181435,0.5344129554655871,0.46558704453441296,0.0,0.5030492492184697,-0.06845009310032624,-43.860759493670884,-34.25
primary,all_test1,test2,2025,237,0,139,98,0.459915611814346,0.5344129554655871,0.46558704453441296,0.0,0.5059532960932029,-0.04603768427885696,-21.042194092827003,-12.0
primary,agree,test1,2026,111,0,63,48,0.5675675675675675,0.5436241610738255,0.4563758389261745,0.0,0.5058951569018684,0.06167241066569917,18.716216216216218,61.5
primary,agree,test2,2026,111,0,63,48,0.5675675675675675,0.5436241610738255,0.4563758389261745,0.0,0.5058951569018684,0.06167241066569917,18.716216216216218,61.5
primary,disagree,test1,2026,30,0,12,18,0.4,0.5436241610738255,0.4563758389261745,0.0,0.49127516778523483,-0.09127516778523481,-85.16666666666667,-52.0
primary,disagree,test2,2026,30,0,18,12,0.6,0.5436241610738255,0.4563758389261745,0.0,0.5087248322147652,0.09127516778523481,85.16666666666667,52.0
primary,all_test1,test1,2026,141,0,75,66,0.5319148936170213,0.5436241610738255,0.4563758389261745,0.0,0.5027845209196059,0.029130372697415363,-3.3865248226950353,39.5
primary,all_test1,test2,2026,141,0,81,60,0.574468085106383,0.5436241610738255,0.4563758389261745,0.0,0.5064972154790804,0.06797086962730259,32.854609929078016,61.5
