outcome,model,slice,n,n_flat,n_up_forecasts,n_down_forecasts,hit_rate,p_up,p_down,p_flat,matched_base_rate,lift,mean_signed_body,median_signed_body
secondary,always_long,2013,177,1,177,0,0.6101694915254238,0.6101694915254238,0.384180790960452,0.005649717514124294,0.6101694915254238,0.0,4.521186440677966,5.75
secondary,test1_bull,2014,98,1,98,0,0.5816326530612245,0.6077348066298343,0.3867403314917127,0.0055248618784530384,0.6077348066298343,-0.026102153568609787,4.344387755102041,3.625
secondary,test1_bear,2014,65,0,0,65,0.35384615384615387,0.6077348066298343,0.3867403314917127,0.0055248618784530384,0.3867403314917127,-0.03289417764555885,-3.5730769230769233,-11.5
secondary,test1_pooled,2014,163,1,98,65,0.49079754601226994,0.6077348066298343,0.3867403314917127,0.0055248618784530384,0.5196081754397858,-0.028810629427515833,1.187116564417178,-3.25
secondary,test2_up,2014,108,1,108,0,0.6018518518518519,0.6077348066298343,0.3867403314917127,0.0055248618784530384,0.6077348066298343,-0.0058829547779823965,3.0972222222222223,6.25
secondary,test2_down,2014,73,0,0,73,0.3835616438356164,0.6077348066298343,0.3867403314917127,0.0055248618784530384,0.3867403314917127,-0.0031786876560963018,-4.917808219178082,-10.75
secondary,test2_pooled,2014,181,1,108,73,0.5138121546961326,0.6077348066298343,0.3867403314917127,0.0055248618784530384,0.5186044382039621,-0.0047922835078294534,-0.13535911602209943,1.0
secondary,always_long,2014,181,1,181,0,0.6077348066298343,0.6077348066298343,0.3867403314917127,0.0055248618784530384,0.6077348066298343,0.0,3.8314917127071824,7.75
secondary,test1_bull,2015,101,2,101,0,0.5544554455445545,0.5141509433962265,0.47641509433962265,0.009433962264150943,0.5141509433962265,0.040304502148328036,6.146039603960396,4.5
secondary,test1_bear,2015,92,0,0,92,0.5543478260869565,0.5141509433962265,0.47641509433962265,0.009433962264150943,0.47641509433962265,0.0779327317473339,6.323369565217392,6.875
secondary,test1_pooled,2015,193,2,101,92,0.5544041450777202,0.5141509433962265,0.47641509433962265,0.009433962264150943,0.49616287027079875,0.05824127480692143,6.230569948186528,6.25
secondary,test2_up,2015,122,2,122,0,0.5327868852459017,0.5141509433962265,0.47641509433962265,0.009433962264150943,0.5141509433962265,0.01863594184967521,4.57172131147541,3.75
secondary,test2_down,2015,90,0,0,90,0.5111111111111111,0.5141509433962265,0.47641509433962265,0.009433962264150943,0.47641509433962265,0.034696016771488425,2.9555555555555557,4.125
secondary,test2_pooled,2015,212,2,122,90,0.5235849056603774,0.5141509433962265,0.47641509433962265,0.009433962264150943,0.4981310074759701,0.025453898184407298,3.88561320754717,3.75
secondary,always_long,2015,212,2,212,0,0.5141509433962265,0.5141509433962265,0.47641509433962265,0.009433962264150943,0.5141509433962265,0.0,1.3761792452830188,1.75
