entry,stop_mode,stop_pts,tgt_mode,tgt_pts,rr,hold_h,split,n,n_elig,trig_rate,win,E_net,E_R,target_hit,stop_hit,time_exit,median_stop
imp20_pb10,fixed,10.0,fixed,25.0,,15,Validation,396,396,1.0,0.25757575757575757,-2.0795454545454546,-0.2079545454545455,0.25252525252525254,0.7424242424242424,0.005050505050505051,10.0
imp20_pb10,fixed,10.0,fixed,25.0,,15,OOS,179,179,1.0,0.21787709497206703,-3.374301675977654,-0.3374301675977654,0.21787709497206703,0.7821229050279329,0.0,10.0
imp20_pb10,fixed,10.0,fixed,25.0,,30,Discovery,328,328,1.0,0.3170731707317073,-0.8285060975609756,-0.08285060975609758,0.22560975609756098,0.6189024390243902,0.15548780487804878,10.0
imp20_pb10,fixed,10.0,fixed,25.0,,30,Validation,396,396,1.0,0.25757575757575757,-2.053030303030303,-0.20530303030303038,0.25252525252525254,0.7424242424242424,0.005050505050505051,10.0
imp20_pb10,fixed,10.0,fixed,25.0,,30,OOS,179,179,1.0,0.21787709497206703,-3.374301675977654,-0.3374301675977654,0.21787709497206703,0.7821229050279329,0.0,10.0
imp20_pb10,fixed,10.0,fixed,25.0,,60,Discovery,328,328,1.0,0.3048780487804878,-0.6859756097560976,-0.0685975609756098,0.2682926829268293,0.6676829268292683,0.06402439024390244,10.0
imp20_pb10,fixed,10.0,fixed,25.0,,60,Validation,396,396,1.0,0.25757575757575757,-1.9848484848484849,-0.19848484848484854,0.25757575757575757,0.7424242424242424,0.0,10.0
imp20_pb10,fixed,10.0,fixed,25.0,,60,OOS,179,179,1.0,0.21787709497206703,-3.374301675977654,-0.3374301675977654,0.21787709497206703,0.7821229050279329,0.0,10.0
imp20_pb10,fixed,10.0,fixed,30.0,,15,Discovery,328,328,1.0,0.3048780487804878,-0.9230182926829268,-0.09230182926829271,0.15853658536585366,0.6036585365853658,0.23780487804878048,10.0
imp20_pb10,fixed,10.0,fixed,30.0,,15,Validation,396,396,1.0,0.22727272727272727,-2.132575757575758,-0.2132575757575758,0.21212121212121213,0.7676767676767676,0.020202020202020204,10.0
imp20_pb10,fixed,10.0,fixed,30.0,,15,OOS,179,179,1.0,0.19553072625698323,-3.111731843575419,-0.31117318435754193,0.19553072625698323,0.7932960893854749,0.0111731843575419,10.0
imp20_pb10,fixed,10.0,fixed,30.0,,30,Discovery,328,328,1.0,0.29878048780487804,-0.5053353658536586,-0.050533536585365885,0.20121951219512196,0.6371951219512195,0.16158536585365854,10.0
imp20_pb10,fixed,10.0,fixed,30.0,,30,Validation,396,396,1.0,0.23232323232323232,-1.8005050505050506,-0.18005050505050516,0.22727272727272727,0.7676767676767676,0.005050505050505051,10.0
imp20_pb10,fixed,10.0,fixed,30.0,,30,OOS,179,179,1.0,0.19553072625698323,-3.17877094972067,-0.31787709497206706,0.19553072625698323,0.8044692737430168,0.0,10.0
imp20_pb10,fixed,10.0,fixed,30.0,,60,Discovery,328,328,1.0,0.2865853658536585,-0.7012195121951219,-0.07012195121951223,0.21341463414634146,0.6859756097560976,0.10060975609756098,10.0
imp20_pb10,fixed,10.0,fixed,30.0,,60,Validation,396,396,1.0,0.22727272727272727,-1.8623737373737375,-0.1862373737373738,0.22727272727272727,0.7676767676767676,0.005050505050505051,10.0
imp20_pb10,fixed,10.0,fixed,30.0,,60,OOS,179,179,1.0,0.19553072625698323,-3.17877094972067,-0.31787709497206706,0.19553072625698323,0.8044692737430168,0.0,10.0
imp20_pb10,fixed,10.0,fixed,40.0,,15,Discovery,328,328,1.0,0.27439024390243905,-1.9222560975609757,-0.1922256097560976,0.06402439024390244,0.6341463414634146,0.3018292682926829,10.0
imp20_pb10,fixed,10.0,fixed,40.0,,15,Validation,396,396,1.0,0.20454545454545456,-1.9779040404040404,-0.19779040404040404,0.14898989898989898,0.7878787878787878,0.06313131313131314,10.0
imp20_pb10,fixed,10.0,fixed,40.0,,15,OOS,179,179,1.0,0.18435754189944134,-1.7150837988826815,-0.17150837988826814,0.18435754189944134,0.8044692737430168,0.0111731843575419,10.0
imp20_pb10,fixed,10.0,fixed,40.0,,30,Discovery,328,328,1.0,0.2682926829268293,-0.5548780487804879,-0.05548780487804878,0.13719512195121952,0.6676829268292683,0.1951219512195122,10.0
