setup,dip,target_mode,target,split,n,win,E_net,median,target_hit,stop_hit,time_exit,n_days,n_trig,trig_rate
fade_extent,5.0,opposite,19.5,OOS,1,1.0,18.5,18.5,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,19.5,Validation,4,0.75,9.3125,18.5,0.75,0.25,0.0,4,4,1.0
fade_extent,5.0,opposite,19.75,Discovery,3,0.0,-15.666666666666666,-13.0,0.0,1.0,0.0,3,3,1.0
fade_extent,5.0,opposite,19.75,OOS,1,0.0,-18.0,-18.0,0.0,1.0,0.0,1,1,1.0
fade_extent,5.0,opposite,19.75,Validation,3,0.3333333333333333,-0.75,-8.25,0.3333333333333333,0.6666666666666666,0.0,3,3,1.0
fade_extent,5.0,opposite,20.0,Discovery,3,0.6666666666666666,5.083333333333333,19.0,0.6666666666666666,0.3333333333333333,0.0,3,3,1.0
fade_extent,5.0,opposite,20.0,Validation,1,0.0,-62.0,-62.0,0.0,1.0,0.0,1,1,1.0
fade_extent,5.0,opposite,20.25,Discovery,1,1.0,19.25,19.25,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,20.25,OOS,1,1.0,19.25,19.25,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,20.25,Validation,1,0.0,-16.0,-16.0,0.0,1.0,0.0,1,1,1.0
fade_extent,5.0,opposite,20.5,Discovery,2,0.0,-5.125,-5.125,0.0,0.5,0.5,2,2,1.0
fade_extent,5.0,opposite,20.5,OOS,1,0.0,-68.0,-68.0,0.0,1.0,0.0,1,1,1.0
fade_extent,5.0,opposite,20.5,Validation,2,1.0,19.5,19.5,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,20.75,Discovery,3,0.3333333333333333,-5.833333333333333,-14.75,0.3333333333333333,0.6666666666666666,0.0,3,3,1.0
fade_extent,5.0,opposite,20.75,OOS,1,1.0,19.75,19.75,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,21.0,Discovery,2,0.5,3.5,3.5,0.5,0.5,0.0,2,2,1.0
fade_extent,5.0,opposite,21.0,Validation,4,0.75,10.3125,20.0,0.75,0.25,0.0,4,4,1.0
fade_extent,5.0,opposite,21.25,Discovery,2,0.5,-0.5,-0.5,0.5,0.5,0.0,2,2,1.0
fade_extent,5.0,opposite,21.25,OOS,1,1.0,20.25,20.25,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,21.25,Validation,4,0.75,6.375,20.25,0.75,0.25,0.0,4,4,1.0
fade_extent,5.0,opposite,21.5,Discovery,3,0.3333333333333333,-28.583333333333332,-24.0,0.0,0.6666666666666666,0.3333333333333333,3,3,1.0
fade_extent,5.0,opposite,21.5,OOS,1,1.0,20.5,20.5,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,21.5,Validation,1,0.0,-21.75,-21.75,0.0,1.0,0.0,1,1,1.0
fade_extent,5.0,opposite,21.75,Discovery,1,0.0,-24.0,-24.0,0.0,1.0,0.0,1,1,1.0
fade_extent,5.0,opposite,22.0,Discovery,3,0.3333333333333333,-4.333333333333333,-10.5,0.3333333333333333,0.6666666666666666,0.0,3,3,1.0
fade_extent,5.0,opposite,22.0,OOS,1,1.0,21.0,21.0,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,22.0,Validation,2,0.5,0.0,0.0,0.5,0.5,0.0,2,2,1.0
