feature,split,horizon_m,tercile,n,ret_mean,ret_median,absret_mean,rv_mean,up_rate
volume,Validation,15,high,97319,-5.996190880816056e-06,0.0,0.001515593677934454,0.0018925308346251079,0.4998407299705094
volume,Validation,30,low,62736,1.944926760206398e-05,8.258661285087676e-05,0.0010104267332253787,0.001269639096091175,0.5220447589900535
volume,Validation,30,mid,118335,1.0688928845827874e-05,9.872642906505469e-05,0.0014279843348325941,0.001795191368503246,0.5184603033760088
volume,Validation,30,high,92799,-4.01327109069398e-06,5.701579337480389e-05,0.002129842190150624,0.0026527058159633494,0.5052101854545846
volume,Validation,60,low,57277,8.145081443909437e-05,0.00016611295681068228,0.0015239580812202618,0.001881837099935652,0.5398676606665852
volume,Validation,60,mid,107163,-1.4895741171680852e-07,0.00015546457998660834,0.002042185473062341,0.0025426237059343426,0.5239588290734675
volume,Validation,60,high,86210,2.6498419828089735e-05,0.00011021717594195124,0.0029059306043745497,0.0036041277583552522,0.5102772300197193
volume,OOS,1,low,46167,-1.7274050276965189e-06,0.0,0.0001413954907528092,,0.44910867069551846
volume,OOS,1,mid,68370,1.6304647552712465e-06,0.0,0.00023145075082432834,,0.4755155770074594
volume,OOS,1,high,48129,1.768299637061733e-06,0.0,0.00039097865281273556,,0.48444804587670637
volume,OOS,5,low,46099,-4.920834067009973e-06,0.0,0.00032249390601333654,0.0003888938425898671,0.48309073949543374
volume,OOS,5,mid,68293,3.86102688724316e-06,0.0,0.000522404070223093,0.0006261330341203788,0.49640519526159343
volume,OOS,5,high,46566,1.3627818822159448e-05,3.6348436120547944e-05,0.0008681245278105723,0.001023384540344299,0.5046600523987459
volume,OOS,15,low,45770,-1.2097600335399639e-05,0.0,0.0005607372019035163,0.0007245305885921674,0.49580511251911735
volume,OOS,15,mid,66712,1.1702353118278468e-05,3.6519674987078865e-05,0.0009112288815310462,0.0011445931420838871,0.5061458208418276
volume,OOS,15,high,44206,3.437421084638009e-05,7.145153945353755e-05,0.0014910044043563904,0.0018373791313152634,0.5125774781703841
volume,OOS,30,low,44275,-2.18786188511234e-05,3.3940874995863624e-05,0.0008098394841477864,0.0010534256252479584,0.5042348955392434
volume,OOS,30,mid,63231,2.5967857304311543e-05,7.535795026369918e-05,0.0013044484429296439,0.0016421336266180294,0.5187803450838987
volume,OOS,30,high,42784,4.7523100708981775e-05,0.00011922503768158066,0.002038155767852469,0.0025670190975574836,0.5198438668661182
volume,OOS,60,low,39233,-1.2042623894801023e-05,7.279344858956982e-05,0.0011799125387526477,0.001542936485737231,0.518109754543369
volume,OOS,60,mid,57550,5.9272947270787605e-05,0.00016376261130202074,0.0018632762920745075,0.002323053236309482,0.5321980886185925
volume,OOS,60,high,40746,5.0106570948094715e-05,0.00020294611070803548,0.0027328994604243475,0.0034905816022325073,0.5295489127767142
d_volume,Discovery,1,low,309068,-3.2355038949584196e-07,0.0,0.00026290239798352366,,0.4091850337142635
d_volume,Discovery,1,mid,309168,1.966638325344576e-06,0.0,0.00020752662081222886,,0.4013869481964498
d_volume,Discovery,1,high,306477,-9.294967239613384e-08,0.0,0.00026854628428181975,,0.41166221282510596
d_volume,Discovery,5,low,306074,8.352879927575551e-07,0.0,0.0005699905820070412,0.0007207434762722869,0.46365911511595237
d_volume,Discovery,5,mid,307519,5.356942312094865e-06,0.0,0.0004505403967736825,0.0005762557760120172,0.4607455149112738
d_volume,Discovery,5,high,301319,8.638854678223262e-07,0.0,0.0005656322847332785,0.0007145069895089225,0.46214808890245884
d_volume,Discovery,15,low,297135,4.419618844005728e-06,0.0,0.0009628893336781502,0.0012892783086084735,0.4912379894660676
d_volume,Discovery,15,mid,302044,1.257931669919187e-05,0.0,0.0007717995189611822,0.001039691721343229,0.49114036365562636
d_volume,Discovery,15,high,291325,7.2550696410567416e-06,0.0,0.000953312718910899,0.0012710462325272065,0.49133785291341286
d_volume,Discovery,30,low,284786,1.859800680685631e-05,9.087604582502795e-05,0.0013407720411258571,0.0018184168640114147,0.5073388439038435
d_volume,Discovery,30,mid,291098,2.4791294798756695e-05,8.468476112910572e-05,0.001087251569534863,0.0014795440087503066,0.5090347580539887
