resolver,session,T_offset,horizon,universe,split,n,win,E
mom5_follow,ASIA,120,30,ALL,Validation,759,0.48353096179183136,0.08399209486166008
mom5_follow,ASIA,120,30,ALL,OOS,409,0.5012224938875306,0.11797066014669927
mom5_follow,ASIA,120,30,ALL,Y2025,254,0.48031496062992124,-1.265748031496063
mom5_follow,ASIA,120,30,ALL,Y2026,155,0.535483870967742,2.3854838709677417
mom5_follow,ASIA,120,30,HIGH,IS,701,0.5078459343794579,0.5827389443651926
mom5_follow,ASIA,120,30,HIGH,Validation,170,0.5294117647058824,-0.09705882352941177
mom5_follow,ASIA,120,30,HIGH,OOS,193,0.5181347150259067,4.760362694300518
mom5_follow,ASIA,120,30,HIGH,Y2025,105,0.47619047619047616,2.7738095238095237
mom5_follow,ASIA,120,30,HIGH,Y2026,88,0.5681818181818182,7.130681818181818
mom5_follow,ASIA,120,60,ALL,IS,2049,0.49487554904831627,0.08870180575890678
mom5_follow,ASIA,120,60,ALL,Validation,759,0.5006587615283268,-0.16930171277997366
mom5_follow,ASIA,120,60,ALL,OOS,409,0.4889975550122249,-0.9602689486552567
mom5_follow,ASIA,120,60,ALL,Y2025,254,0.4763779527559055,-1.8730314960629921
mom5_follow,ASIA,120,60,ALL,Y2026,155,0.5096774193548387,0.535483870967742
mom5_follow,ASIA,120,60,HIGH,IS,701,0.5021398002853067,0.32489300998573467
mom5_follow,ASIA,120,60,HIGH,Validation,170,0.4823529411764706,-3.2338235294117648
mom5_follow,ASIA,120,60,HIGH,OOS,193,0.5181347150259067,1.2046632124352332
mom5_follow,ASIA,120,60,HIGH,Y2025,105,0.5142857142857142,2.2666666666666666
mom5_follow,ASIA,120,60,HIGH,Y2026,88,0.5227272727272727,-0.0625
mom5_follow,ASIA,180,30,ALL,IS,1938,0.47936016511867907,0.11442208462332301
mom5_follow,ASIA,180,30,ALL,Validation,761,0.5019710906701709,0.5121550591327201
mom5_follow,ASIA,180,30,ALL,OOS,410,0.5195121951219512,2.801219512195122
mom5_follow,ASIA,180,30,ALL,Y2025,255,0.49411764705882355,1.4019607843137254
mom5_follow,ASIA,180,30,ALL,Y2026,155,0.5612903225806452,5.103225806451613
mom5_follow,ASIA,180,30,HIGH,IS,655,0.467175572519084,0.01717557251908397
mom5_follow,ASIA,180,30,HIGH,Validation,168,0.5476190476190477,2.330357142857143
mom5_follow,ASIA,180,30,HIGH,OOS,197,0.5786802030456852,4.25761421319797
mom5_follow,ASIA,180,30,HIGH,Y2025,103,0.5533980582524272,4.259708737864078
