resolver,session,T_offset,outcome,universe,split,n,win,E
bar1_follow,ASIA,30,SESS_END,ALL,IS,1521,0.4917817225509533,0.4881656804733728
bar1_follow,ASIA,30,SESS_END,ALL,Validation,726,0.4986225895316804,0.21349862258953167
bar1_follow,ASIA,30,SESS_END,ALL,OOS,400,0.455,-2.12875
bar1_follow,ASIA,30,SESS_END,HIGH,IS,564,0.4787234042553192,-2.653368794326241
bar1_follow,ASIA,30,SESS_END,HIGH,Validation,197,0.49746192893401014,-1.515228426395939
bar1_follow,ASIA,30,SESS_END,HIGH,OOS,219,0.4246575342465753,-9.363013698630137
bar1_follow,ASIA,60,H30,ALL,IS,1466,0.48021828103683495,-0.3894952251023192
bar1_follow,ASIA,60,H30,ALL,Validation,735,0.49115646258503404,0.4738095238095238
bar1_follow,ASIA,60,H30,ALL,OOS,396,0.5252525252525253,0.9993686868686869
bar1_follow,ASIA,60,H30,HIGH,IS,533,0.4709193245778612,-0.3803939962476548
bar1_follow,ASIA,60,H30,HIGH,Validation,174,0.45977011494252873,-0.4698275862068966
bar1_follow,ASIA,60,H30,HIGH,OOS,201,0.4975124378109453,0.6256218905472637
bar1_follow,ASIA,60,H60,ALL,IS,1466,0.46998635743519784,-0.4795361527967258
bar1_follow,ASIA,60,H60,ALL,Validation,735,0.46938775510204084,0.4061224489795918
bar1_follow,ASIA,60,H60,ALL,OOS,396,0.48484848484848486,-2.058712121212121
bar1_follow,ASIA,60,H60,HIGH,IS,533,0.4878048780487805,-0.2673545966228893
bar1_follow,ASIA,60,H60,HIGH,Validation,174,0.45977011494252873,0.4281609195402299
bar1_follow,ASIA,60,H60,HIGH,OOS,201,0.472636815920398,-0.8345771144278606
bar1_follow,ASIA,60,SESS_END,ALL,IS,1466,0.4713506139154161,-2.03956343792633
bar1_follow,ASIA,60,SESS_END,ALL,Validation,735,0.49795918367346936,0.19115646258503402
bar1_follow,ASIA,60,SESS_END,ALL,OOS,396,0.4823232323232323,-6.625
bar1_follow,ASIA,60,SESS_END,HIGH,IS,533,0.450281425891182,-3.217636022514071
bar1_follow,ASIA,60,SESS_END,HIGH,Validation,174,0.5459770114942529,2.7399425287356323
bar1_follow,ASIA,60,SESS_END,HIGH,OOS,201,0.5323383084577115,2.4527363184079602
bar1_follow,ASIA,90,H30,ALL,IS,1342,0.4783904619970194,-0.4593889716840536
bar1_follow,ASIA,90,H30,ALL,Validation,730,0.49726027397260275,-0.48356164383561645
bar1_follow,ASIA,90,H30,ALL,OOS,399,0.47619047619047616,-2.167293233082707
bar1_follow,ASIA,90,H30,HIGH,IS,480,0.4479166666666667,-0.8729166666666667
bar1_follow,ASIA,90,H30,HIGH,Validation,164,0.5304878048780488,1.3445121951219512
bar1_follow,ASIA,90,H30,HIGH,OOS,198,0.4696969696969697,-2.5782828282828283
bar1_follow,ASIA,90,H60,ALL,IS,1342,0.47466467958271236,-0.8148286140089419
bar1_follow,ASIA,90,H60,ALL,Validation,730,0.5054794520547945,-0.3428082191780822
