session_date,variant,sl_mode,tp_mode,bias,daily_fvg_state,h7_state,entry_ts,entry_price,sl,tp,tp_used,exit_ts,exit_price,exit_reason,r_mult,pnl_pts,pnl_nq,pnl_mnq,risk_pts,weekday,entry_hour,grid_key
2014-04-30,D,B,liquidity,1,confirmed,no_cont,2014-04-30 08:49:00-04:00,3555.25,3549.5,3555.75,liquidity,2014-04-30 08:50:00-04:00,3555.5,TP,0.0,0.0,-5.0,-5.0,5.75,2,8,D_SLB_TPliquidity
2014-05-13,D,B,liquidity,1,untested,cont_match,2014-05-13 09:34:00-04:00,3611.0,3606.25,3611.5,liquidity,2014-05-13 09:35:00-04:00,3611.25,TP,0.0,0.0,-5.0,-5.0,4.75,1,9,D_SLB_TPliquidity
2014-06-18,D,B,liquidity,-1,confirmed,no_cont,2014-06-18 08:39:00-04:00,3776.75,3778.25,3776.5,liquidity,2014-06-18 08:40:00-04:00,3776.75,TP,-0.16666666666666666,-0.25,-10.0,-5.5,1.5,2,8,D_SLB_TPliquidity
2014-06-26,D,B,liquidity,1,confirmed,no_cont,2014-06-26 08:34:00-04:00,3816.75,3815.25,3817.0,liquidity,2014-06-26 08:35:00-04:00,3816.75,TP,-0.16666666666666666,-0.25,-10.0,-5.5,1.5,3,8,D_SLB_TPliquidity
2014-07-15,D,B,liquidity,1,untested,cont_match,2014-07-15 09:54:00-04:00,3923.25,3922.0,3923.5,liquidity,2014-07-15 09:55:00-04:00,3923.25,TP,-0.2,-0.25,-10.0,-5.5,1.25,1,9,D_SLB_TPliquidity
2014-08-07,D,B,liquidity,1,confirmed,no_cont,2014-08-07 08:34:00-04:00,3880.25,3872.5,3880.875,liquidity,2014-08-07 08:35:00-04:00,3880.625,TP,0.016129032258064516,0.125,-2.5,-4.75,7.75,3,8,D_SLB_TPliquidity
2014-08-20,D,B,liquidity,1,untested,cont_match,2014-08-20 09:29:00-04:00,4035.25,4032.0,4037.75,liquidity,2014-08-20 09:39:00-04:00,4037.5,TP,0.6153846153846154,2.0,35.0,-1.0,3.25,2,9,D_SLB_TPliquidity
2014-08-25,D,B,liquidity,1,untested,cont_match,2014-08-25 10:29:00-04:00,4073.5,4069.75,4073.75,liquidity,2014-08-25 10:30:00-04:00,4073.5,TP,-0.06666666666666667,-0.25,-10.0,-5.5,3.75,0,10,D_SLB_TPliquidity
2014-08-26,D,B,liquidity,1,untested,cont_match,2014-08-26 09:39:00-04:00,4065.5,4064.75,4067.75,liquidity,2014-08-26 09:40:00-04:00,4064.5,SL,-1.6666666666666667,-1.25,-30.0,-7.5,0.75,1,9,D_SLB_TPliquidity
2014-09-08,D,B,liquidity,1,confirmed,no_cont,2014-09-08 09:19:00-04:00,4086.5,4082.5,4087.0,liquidity,2014-09-08 09:21:00-04:00,4086.75,TP,0.0,0.0,-5.0,-5.0,4.0,0,9,D_SLB_TPliquidity
