sample,side,length,start_date,end_date
All,bear,1,2017-08-08,2017-08-08
All,bull,1,2017-08-09,2017-08-09
All,bear,1,2017-08-10,2017-08-10
All,bull,4,2017-08-11,2017-08-16
All,bear,1,2017-08-17,2017-08-17
All,bull,1,2017-08-18,2017-08-18
All,bear,1,2017-08-21,2017-08-21
All,bull,1,2017-08-22,2017-08-22
All,bear,1,2017-08-23,2017-08-23
All,bull,1,2017-08-24,2017-08-24
All,bear,1,2017-08-25,2017-08-25
All,bull,4,2017-08-28,2017-08-31
All,bear,2,2017-09-01,2017-09-05
All,bull,2,2017-09-06,2017-09-07
All,bear,1,2017-09-08,2017-09-08
All,bull,3,2017-09-11,2017-09-13
All,bear,1,2017-09-14,2017-09-14
All,bull,1,2017-09-15,2017-09-15
All,bear,1,2017-09-18,2017-09-18
All,bull,1,2017-09-19,2017-09-19
All,bear,4,2017-09-20,2017-09-25
All,bull,9,2017-09-26,2017-10-06
All,bear,1,2017-10-09,2017-10-09
All,bull,2,2017-10-10,2017-10-11
All,bear,1,2017-10-12,2017-10-12
All,bull,3,2017-10-13,2017-10-17
All,bear,2,2017-10-18,2017-10-19
All,bull,1,2017-10-20,2017-10-20
All,bear,1,2017-10-23,2017-10-23
All,bull,1,2017-10-24,2017-10-24
All,bear,1,2017-10-25,2017-10-25
All,bull,4,2017-10-26,2017-10-31
All,bear,1,2017-11-01,2017-11-01
All,bull,5,2017-11-02,2017-11-08
All,bear,5,2017-11-09,2017-11-15
All,bull,1,2017-11-16,2017-11-16
All,bear,1,2017-11-17,2017-11-17
All,bull,5,2017-11-20,2017-11-28
All,bear,1,2017-11-29,2017-11-29
All,bull,1,2017-11-30,2017-11-30
All,bear,2,2017-12-01,2017-12-04
All,bull,5,2017-12-05,2017-12-11
All,bear,1,2017-12-12,2017-12-12
All,bull,1,2017-12-13,2017-12-13
All,bear,1,2017-12-14,2017-12-14
All,bull,2,2017-12-15,2017-12-18
All,bear,2,2017-12-19,2017-12-20
All,bull,1,2017-12-21,2017-12-21
All,bear,5,2017-12-22,2017-12-29
All,bull,5,2018-01-02,2018-01-08
All,bear,2,2018-01-09,2018-01-10
All,bull,2,2018-01-11,2018-01-12
All,bear,1,2018-01-16,2018-01-16
All,bull,1,2018-01-17,2018-01-17
All,bear,1,2018-01-18,2018-01-18
All,bull,3,2018-01-19,2018-01-23
All,bear,1,2018-01-24,2018-01-24
All,bull,2,2018-01-25,2018-01-26
All,bear,6,2018-01-29,2018-02-05
All,bull,1,2018-02-06,2018-02-06
All,bear,2,2018-02-07,2018-02-08
All,bull,5,2018-02-09,2018-02-15
All,bear,1,2018-02-16,2018-02-16
All,bull,1,2018-02-20,2018-02-20
All,bear,1,2018-02-21,2018-02-21
All,bull,3,2018-02-22,2018-02-26
All,bear,3,2018-02-27,2018-03-01
All,bull,7,2018-03-02,2018-03-12
All,bear,2,2018-03-13,2018-03-14
All,bull,1,2018-03-15,2018-03-15
All,bear,2,2018-03-16,2018-03-19
All,bull,1,2018-03-20,2018-03-20
