market,split,event_type,band,horizon_min,events,mean_fade_return_pts,median_fade_return_pts,p10_fade_return_pts,p90_fade_return_pts,positive_rate,mfe_pts,mae_pts,time_to_recover_min,fraction_below_60,max_recovery_60_pts
ES,IS,control,1.0-1.5,1,2216,0.014214801444043322,0.0,-0.75,0.75,0.4007220216606498,0.4842057761732852,-0.5051895306859205,1.3779096303057965,0.11529031287605294,8.160311371841155
ES,IS,control,1.0-1.5,5,2216,0.020081227436823106,0.0,-1.25,1.25,0.4756317689530686,0.9664936823104693,-1.0139891696750902,1.3779096303057965,0.11529031287605294,8.160311371841155
ES,IS,control,1.0-1.5,15,2216,0.0582129963898917,0.0,-2.0,2.25,0.4954873646209386,1.6238718411552346,-1.6762184115523466,1.3779096303057965,0.11529031287605294,8.160311371841155
ES,IS,control,1.0-1.5,30,2216,0.09296028880866426,0.25,-3.25,3.25,0.506768953068592,2.3233303249097474,-2.3387861010830324,1.3779096303057965,0.11529031287605294,8.160311371841155
ES,IS,control,1.0-1.5,60,2216,0.10965703971119134,0.25,-4.5,4.25,0.5225631768953068,3.22461642599278,-3.2961416967509027,1.3779096303057965,0.11529031287605294,8.160311371841155
ES,IS,control,1.5+,1,1484,-0.022911051212938006,0.0,-1.0,1.0,0.43463611859838275,0.6536388140161725,-0.7722371967654986,1.6976109215017066,0.17614555256064687,8.139150943396226
ES,IS,control,1.5+,5,1484,-0.028975741239892182,0.25,-2.0,1.75,0.511455525606469,1.3141846361185985,-1.4828167115902966,1.6976109215017066,0.17614555256064687,8.139150943396226
ES,IS,control,1.5+,15,1484,-0.15296495956873316,0.25,-3.25,2.75,0.5074123989218329,2.053234501347709,-2.409366576819407,1.6976109215017066,0.17614555256064687,8.139150943396226
ES,IS,control,1.5+,30,1484,-0.15886118598382748,0.25,-4.25,3.75,0.5040431266846361,2.776111859838275,-3.2966644204851754,1.6976109215017066,0.17614555256064687,8.139150943396226
ES,IS,control,1.5+,60,1484,-0.1307277628032345,0.25,-6.0,5.75,0.5262803234501348,3.8696091644204853,-4.598214285714286,1.6976109215017066,0.17614555256064687,8.139150943396226
ES,IS,control,<0.5,1,2900,0.01353448275862069,0.0,-0.25,0.5,0.30758620689655175,0.2796551724137931,-0.2608620689655172,1.0970303867403315,0.03408620689655172,14.23853448275862
ES,IS,control,<0.5,5,2900,-0.03560344827586207,0.0,-0.75,0.75,0.38517241379310346,0.5817241379310345,-0.6335344827586207,1.0970303867403315,0.03408620689655172,14.23853448275862
