mechanism,T_offset,horizon,split,n,rate,win,mean,median,mean_mfe,mean_mae,mfe_gt_mae,n_high,delta_win_vs_follow,delta_mean_vs_follow,delta_win_vs_long,follow_win,follow_mean,long_win
structure_hhhl,50,10,IS,706,0.8599269183922046,0.46175637393767704,-0.1901558073654391,-0.5,6.866501416430595,7.009915014164306,0.48725212464589235,821.0,-0.010057351552519023,0.17473389851691382,-0.06443120218899773,0.47181372549019607,-0.3648897058823529,0.5261875761266748
structure_hhhl,50,15,IS,706,0.8599269183922046,0.46742209631728043,-0.18661473087818697,-0.5,8.497875354107649,8.67528328611898,0.471671388101983,821.0,-0.005617119368994061,0.02263772010220519,-0.04658521184349912,0.4730392156862745,-0.20925245098039216,0.5140073081607796
structure_hhhl,50,30,IS,706,0.8599269183922046,0.47592067988668557,0.15509915014164305,-0.5,12.241501416430594,11.825779036827196,0.4985835694050991,821.0,-0.006922457368216395,0.2123908168083097,-0.06610124459565309,0.48284313725490197,-0.057291666666666664,0.5420219244823387
structure_hhhl,50,10,Validation,195,0.8590308370044053,0.5333333333333333,-2.1717948717948716,2.0,22.626923076923077,24.506410256410255,0.47692307692307695,227.0,0.042182890855457233,-1.3642727479010663,0.03553597650513951,0.4911504424778761,-0.8075221238938053,0.4977973568281938
structure_hhhl,50,15,Validation,195,0.8590308370044053,0.5128205128205128,-0.30641025641025643,1.0,27.96923076923077,30.19871794871795,0.517948717948718,227.0,0.008395734059450821,-1.2909235307465396,0.019428442335931273,0.504424778761062,0.9845132743362832,0.4933920704845815
structure_hhhl,50,30,Validation,195,0.8590308370044053,0.517948717948718,-2.2474358974358974,0.5,39.60897435897436,43.61666666666667,0.49743589743589745,227.0,-0.004175175856591773,-1.5461084638075788,0.04658307918219817,0.5221238938053098,-0.7013274336283186,0.4713656387665198
structure_hhhl,50,10,OOS,108,0.8852459016393442,0.46296296296296297,0.49074074074074076,-2.125,41.10648148148148,39.298611111111114,0.5555555555555556,122.0,-0.004250151791135415,0.16901942926533092,-0.07802064359441413,0.4672131147540984,0.32172131147540983,0.5409836065573771
structure_hhhl,50,15,OOS,108,0.8852459016393442,0.5370370370370371,3.9953703703703702,4.5,49.513888888888886,45.6412037037037,0.5555555555555556,122.0,-0.02034001214329073,-0.08659684274438373,0.04523375834851251,0.5573770491803278,4.081967213114754,0.4918032786885246
structure_hhhl,50,30,OOS,108,0.8852459016393442,0.5,6.0092592592592595,0.0,67.39814814814815,59.7037037037037,0.5277777777777778,122.0,-0.024590163934426257,-1.021478445658773,0.04098360655737704,0.5245901639344263,7.030737704918033,0.45901639344262296
structure_hhhl,50,10,ALL,1009,0.8623931623931624,0.4757185332011893,-0.5002477700693756,-0.25,13.577304261645192,13.847373637264619,0.49256689791873143,1170.0,0.0006326225482683467,-0.12138179068793231,-0.04650368902103297,0.47508591065292094,-0.3788659793814433,0.5222222222222223
structure_hhhl,50,15,ALL,1009,0.8623931623931624,0.4836471754212091,0.23785926660059464,-0.25,16.651139742319128,16.791625371655105,0.489593657086224,1170.0,-0.0043253331698561714,-0.23443454783239503,-0.024045132271098557,0.4879725085910653,0.4722938144329897,0.5076923076923077
structure_hhhl,50,30,ALL,1009,0.8623931623931624,0.48662041625371655,0.3173934588701685,-0.5,23.43434093161546,23.09440039643211,0.5014866204162537,1170.0,-0.008224944571025739,-0.24317355143910985,-0.03303770340440315,0.4948453608247423,0.5605670103092784,0.5196581196581197
structure_hhhl,55,10,IS,700,0.8536585365853658,0.45571428571428574,0.12607142857142858,-0.25,7.218571428571429,6.9725,0.47714285714285715,820.0,-0.009487179487179476,0.012823565323565336,-0.06257839721254355,0.4652014652014652,0.11324786324786325,0.5182926829268293
structure_hhhl,55,15,IS,700,0.8536585365853658,0.49714285714285716,0.6682142857142858,0.0,9.003214285714286,8.314642857142857,0.48714285714285716,820.0,0.011184371184371211,0.20118131868131872,-0.006515679442508693,0.48595848595848595,0.46703296703296704,0.5036585365853659
structure_hhhl,55,30,IS,700,0.8536585365853658,0.49142857142857144,0.7942857142857143,0.0,12.667857142857143,11.151785714285714,0.5071428571428571,820.0,0.004249084249084267,0.5235286935286936,-0.04393728222996518,0.48717948717948717,0.27075702075702074,0.5353658536585366
structure_hhhl,55,10,Validation,197,0.8716814159292036,0.5279187817258884,-0.19923857868020303,2.0,23.253807106598984,24.389593908629443,0.48223350253807107,226.0,-0.0030546696015453234,-0.3076456583262207,0.04561789677013617,0.5309734513274337,0.1084070796460177,0.4823008849557522
structure_hhhl,55,15,Validation,197,0.8716814159292036,0.5076142131979695,0.2436548223350254,1.25,29.5253807106599,30.189086294416242,0.5329949238578681,226.0,0.0031894344369075567,-0.14904429270922243,0.03416288576434118,0.504424778761062,0.3926991150442478,0.47345132743362833
