split,instrument,horizon_m,feature,target,n,spearman
Discovery,nq,5,surf_delta_oi_sum,rv,7607,-0.300665328302405
Discovery,nq,5,surf_vega_oi_sum,ret,7607,0.00016215969308944406
Discovery,nq,5,surf_vega_oi_sum,absret,7607,0.11688169989053297
Discovery,nq,5,surf_vega_oi_sum,rv,7607,0.16617491780578666
Discovery,nq,5,d30_surf_oi_gamma_sum,ret,6535,-0.01047024454240174
Discovery,nq,5,d30_surf_oi_gamma_sum,absret,6535,-0.010884021752054336
Discovery,nq,5,d30_surf_oi_gamma_sum,rv,6535,-0.026648350031866146
Discovery,nq,5,d30_surf_oi_gamma_balance,ret,6535,-0.0026813099789330017
Discovery,nq,5,d30_surf_oi_gamma_balance,absret,6535,0.030137158032770103
Discovery,nq,5,d30_surf_oi_gamma_balance,rv,6535,0.03076290129009133
Discovery,nq,5,d30_surf_atm_oi_gamma_abs_share,ret,6479,-0.0055407771991094505
Discovery,nq,5,d30_surf_atm_oi_gamma_abs_share,absret,6479,0.05039629771916705
Discovery,nq,5,d30_surf_atm_oi_gamma_abs_share,rv,6479,0.0687174918432627
Discovery,nq,5,d30_surf_iv_atm,ret,6535,-0.003612076023239932
Discovery,nq,5,d30_surf_iv_atm,absret,6535,-0.022281025677785986
Discovery,nq,5,d30_surf_iv_atm,rv,6535,-0.021731304563950102
Discovery,nq,5,d30_surf_iv_skew_wing,ret,6535,-0.010517329953801188
Discovery,nq,5,d30_surf_iv_skew_wing,absret,6535,-0.02373851251056748
Discovery,nq,5,d30_surf_iv_skew_wing,rv,6535,-0.03337913960754025
Discovery,nq,5,d30_volg_gamma_sum,ret,6535,-0.014344172035099254
Discovery,nq,5,d30_volg_gamma_sum,absret,6535,0.003145754124732042
Discovery,nq,5,d30_volg_gamma_sum,rv,6535,-0.006447200685162703
Discovery,nq,15,surf_oi_gamma_sum,ret,7607,-0.018280949548820914
Discovery,nq,15,surf_oi_gamma_sum,absret,7607,-0.2147799519314906
Discovery,nq,15,surf_oi_gamma_sum,rv,7607,-0.3085075270614868
Discovery,nq,15,surf_oi_gamma_balance,ret,7607,-0.009416279697249726
Discovery,nq,15,surf_oi_gamma_balance,absret,7607,-0.11474410460179281
Discovery,nq,15,surf_oi_gamma_balance,rv,7607,-0.16777806375699597
Discovery,nq,15,surf_oi_gamma_pc_asym,ret,7607,-0.048200719266826245
Discovery,nq,15,surf_oi_gamma_pc_asym,absret,7607,0.18978306138043616
Discovery,nq,15,surf_oi_gamma_pc_asym,rv,7607,0.31745937374781097
Discovery,nq,15,surf_atm_oi_gamma_abs_share,ret,7544,-0.01080811387830528
Discovery,nq,15,surf_atm_oi_gamma_abs_share,absret,7544,-0.30765923208265505
Discovery,nq,15,surf_atm_oi_gamma_abs_share,rv,7544,-0.4964249241832552
Discovery,nq,15,surf_near_oi_gamma_abs_share,ret,7544,-0.007585464267713425
