feature,split,instrument,horizon_m,tercile,n,ret_mean,ret_median,absret_mean,rv_mean,up_rate
surf_oi_gamma_sum,Discovery,nq,5,high,3103,4.562452288641014e-06,3.451012872268677e-05,0.0005601706824892943,0.0006780040203873493,0.5066065098291975
surf_oi_gamma_sum,Discovery,nq,15,low,1954,3.609574552519475e-05,0.0001066169157939445,0.0016180443444630086,0.0019625791624438703,0.5281473899692938
surf_oi_gamma_sum,Discovery,nq,15,mid,2550,3.298900554952293e-05,6.754361802974174e-05,0.0012566023296577632,0.0015622747379937555,0.5211764705882352
surf_oi_gamma_sum,Discovery,nq,15,high,3103,1.0155685319676774e-05,6.98080279231128e-05,0.0008853575392775031,0.0011581297725701267,0.5230422172091524
surf_oi_gamma_sum,Discovery,nq,30,low,1954,6.0060930353022544e-05,0.00020086490393467216,0.002089854611382703,0.0026357908026286548,0.5414534288638689
surf_oi_gamma_sum,Discovery,nq,30,mid,2550,-2.089770965650352e-05,0.00010888289211397062,0.0017098872151436097,0.0021725916756766737,0.5309803921568628
surf_oi_gamma_sum,Discovery,nq,30,high,3103,2.8200680994995323e-05,8.537886873005718e-05,0.001227808444946109,0.0016033150577917986,0.5227199484369964
surf_oi_gamma_sum,Discovery,nq,60,low,1954,4.118374655317072e-05,0.00020283056604197824,0.002869212924537615,0.0036281877181128168,0.5460593654042989
surf_oi_gamma_sum,Discovery,nq,60,mid,2550,-1.4932536365274424e-05,0.00019189039468592295,0.0023811110205980944,0.00302601801968954,0.5349019607843137
surf_oi_gamma_sum,Discovery,nq,60,high,3103,7.493103111956595e-05,0.0001790446179188443,0.001662066389610249,0.002210282799365863,0.5349661617789236
surf_oi_gamma_sum,Discovery,nq,120,low,1954,4.258239847360062e-06,0.0002738206368601004,0.0036299736987778063,0.004738164115692371,0.553224155578301
surf_oi_gamma_sum,Discovery,nq,120,mid,2550,-1.5397156591503164e-06,0.00030461191532693555,0.0032397787473113704,0.004084317641637754,0.5474509803921569
surf_oi_gamma_sum,Discovery,nq,120,high,3103,0.00019958531450774676,0.00028253021503688025,0.002202578100922068,0.0029482617010413545,0.5507573316145665
surf_oi_gamma_sum,Validation,es,5,low,3900,-1.7464084991344672e-05,0.0,0.0007996929420982398,0.000942213509856517,0.49564102564102563
surf_oi_gamma_sum,Validation,es,5,mid,849,-5.8152355064027945e-05,0.0,0.0005866539143508148,0.0007119913516187346,0.4746760895170789
surf_oi_gamma_sum,Validation,es,5,high,68,-3.0987267614476627e-05,-2.586652871183759e-05,0.0005295419156545075,0.0006331083619690277,0.4852941176470588
surf_oi_gamma_sum,Validation,es,15,low,3900,1.4768352146341307e-05,5.9771518854279115e-05,0.001259811720979201,0.0015932387839939029,0.5097435897435898
surf_oi_gamma_sum,Validation,es,15,mid,849,-4.912861916708101e-05,0.0,0.0009500506846848134,0.0012249950756913278,0.4923439340400471
surf_oi_gamma_sum,Validation,es,15,high,68,-9.136971981181437e-05,-5.198485721669144e-05,0.0007591514866981381,0.001040127240163221,0.45588235294117646
surf_oi_gamma_sum,Validation,es,30,low,3900,1.822503276841024e-05,0.00011245432823314694,0.0017434157372034004,0.002185412603436643,0.5169230769230769
surf_oi_gamma_sum,Validation,es,30,mid,849,-8.382859376395983e-05,0.0,0.0013819395525671249,0.001735891890653479,0.49469964664310956
surf_oi_gamma_sum,Validation,es,30,high,68,7.331999655316984e-05,-5.233686054517683e-05,0.0008626459540577267,0.0014225481394509625,0.45588235294117646
surf_oi_gamma_sum,Validation,es,60,low,3900,5.7446480960919954e-05,0.0001189310854667891,0.0024001660998719727,0.0030134206886247347,0.518974358974359
surf_oi_gamma_sum,Validation,es,60,mid,849,-0.00014657784403245136,0.00010899776554573748,0.001964989213333271,0.002416392868669118,0.5111896348645465
surf_oi_gamma_sum,Validation,es,60,high,68,0.00012489314339829172,0.0001062512393359416,0.0013254213080964958,0.001925586894459109,0.5294117647058824
surf_oi_gamma_sum,Validation,es,120,low,3900,0.00013605329654842974,0.00023416119361718835,0.0032209248632531747,0.004028517605259896,0.5338461538461539
surf_oi_gamma_sum,Validation,es,120,mid,849,-0.0003191730388097822,0.00010971528882541826,0.002720655370743286,0.0032578291405092018,0.5100117785630153
surf_oi_gamma_sum,Validation,es,120,high,68,0.0003753932299255182,0.0003879885640799552,0.0020382662200313633,0.002540989564490049,0.5147058823529411
surf_oi_gamma_sum,Validation,nq,5,low,3900,-1.671072890797948e-05,1.9339182687705403e-05,0.001055102056510637,0.0012360723689449921,0.5043589743589744
surf_oi_gamma_sum,Validation,nq,5,mid,849,-7.00600471539026e-05,-1.61352781722357e-05,0.0007968229933902911,0.0009354474849004756,0.48998822143698467
surf_oi_gamma_sum,Validation,nq,5,high,68,-3.0402469194692536e-05,4.398533842486785e-05,0.0006895795224866134,0.0007866669938469082,0.5294117647058824
surf_oi_gamma_sum,Validation,nq,15,low,3900,3.254406579576393e-05,9.81530988097834e-05,0.001675832099535282,0.0020873116764873086,0.5207692307692308
surf_oi_gamma_sum,Validation,nq,15,mid,849,-4.463006946238522e-05,1.6771769757228938e-05,0.0012992128433873221,0.0016180396975542704,0.5053003533568905
surf_oi_gamma_sum,Validation,nq,15,high,68,-7.346340319349404e-05,0.00012978468669966325,0.0009897968562109292,0.0013007002430712605,0.5441176470588235
surf_oi_gamma_sum,Validation,nq,30,low,3900,4.1122334263624006e-05,0.00012957712852712522,0.0023032006756015604,0.0028449754986646335,0.5258974358974359
surf_oi_gamma_sum,Validation,nq,30,mid,849,-0.00010750534807397498,4.506128334536008e-05,0.0018538612004161124,0.0022701001827789657,0.502944640753828
surf_oi_gamma_sum,Validation,nq,30,high,68,0.00010365646197844179,-3.822703033312669e-05,0.0011166844384908222,0.0017807557449430536,0.4852941176470588
surf_oi_gamma_sum,Validation,nq,60,low,3900,0.00011855999464385112,0.00021803428266675695,0.003151877656715701,0.003906540753079553,0.5346153846153846
