prior_session,next_session,open,prior_poc,prior_range,prior_poc_location,poc_location_third,half_width,displacement,null_center,null_outside_prior_range,open_inside_both_bands,n_bars,vwap_proxy,poc_band_touch,null_band_touch,poc_point_touch,null_point_touch,minutes_to_poc_band,minutes_to_null_band,touch_order,abs_migration_poc,abs_migration_null,closer_center,imbalance_poc,imbalance_null
2026-08-03,2026-08-04,29777.25,29880.0,1124.75,0.9319848855301178,upper,112.47500000000001,102.75,29674.5,False,True,1380,29842.705195229217,True,True,True,True,0.0,0.0,tie,0.0331583060864932,0.14954896219534722,poc,-162.0,-63.0
2026-08-04,2026-08-05,29569.5,29840.0,543.25,0.5692590888173032,middle,54.325,270.5,29299.0,True,False,1380,29522.55625145572,False,True,False,True,,907.0,null_sooner,0.5843419209282642,0.411516339541133,null,,445.0
2026-08-05,2026-08-06,29514.25,29520.0,445.0,0.6264044943820225,middle,44.5,5.75,29508.5,False,True,1380,29717.607707708186,True,True,True,True,0.0,0.0,tie,0.4440622645127783,0.4699049611419918,poc,1044.0,1179.0
2026-08-06,2026-08-10,29764.5,29750.0,414.25,0.7157513578756789,upper,41.425000000000004,-14.5,29779.0,False,True,1380,29701.763352523452,True,True,True,True,0.0,0.0,tie,0.11644332523004866,0.18644936023306616,poc,168.0,-272.0
2026-08-10,2026-08-11,29657.75,29628.0,353.25,0.267515923566879,lower,35.325,-29.75,29687.5,False,True,1380,29868.479223310675,True,True,True,True,0.0,0.0,tie,0.6807621325142946,0.5123261806388523,null,1375.0,1069.0
2026-08-11,2026-08-12,29825.0,29907.0,377.25,0.7488402915838304,upper,37.725,82.0,29743.0,False,False,1380,30116.178901281437,True,True,True,False,245.0,31.0,null_sooner,0.5544835024027488,0.9892084858354857,poc,38.0,
2026-08-12,2026-08-13,30210.75,30210.0,492.25,0.8725241239207719,upper,49.225,-0.75,30211.5,False,True,1380,30148.409506689153,True,True,True,True,0.0,0.0,tie,0.1251203520789168,0.12816758417642823,poc,-617.0,-632.0
2026-08-13,2026-08-17,30077.0,30082.0,254.5,0.2102161100196463,lower,25.450000000000003,5.0,30072.0,False,True,1380,29677.237053179837,True,True,True,True,0.0,0.0,tie,1.5904241525350218,1.551131421690228,null,-1100.0,-972.0
2026-08-17,2026-08-18,29566.5,29595.0,607.25,0.1333882256072457,lower,60.725,28.5,29538.0,False,True,1380,29556.14389918697,True,True,True,True,0.0,0.0,tie,0.06398699186995625,0.029878796520327815,null,-689.0,187.0
2026-08-18,2026-08-19,29561.5,29550.0,381.5,0.4567496723460026,middle,38.15,-11.5,29573.0,False,True,1380,29379.132723045175,True,True,True,True,0.0,0.0,tie,0.4478827705237871,0.5081711060414804,poc,-739.0,-177.0
2026-08-19,2026-08-20,29327.0,29300.0,487.0,0.1996919917864476,lower,48.7,-27.0,29354.0,False,True,1380,29374.490032999816,True,True,True,True,0.0,0.0,tie,0.1529569466115325,0.042073989732682386,null,1198.0,719.0
2026-08-20,2026-08-24,29140.5,29400.0,319.0,0.5642633228840125,middle,31.900000000000002,259.5,28881.0,True,False,1380,29262.652013512656,True,False,True,False,701.0,,poc_sooner,0.4305579513709853,1.1964012962779176,poc,-647.0,
2026-08-24,2026-08-25,29288.0,29225.0,408.75,0.5088685015290519,middle,40.875,-63.0,29351.0,False,False,1380,29252.030014032076,True,True,True,True,81.0,944.0,poc_sooner,0.06612847469621039,0.24212840603773456,poc,89.0,-40.0
2026-08-25,2026-08-26,29499.5,29280.0,341.75,0.5384052670080468,middle,34.175000000000004,-219.5,29719.0,True,False,1380,29572.446697949592,False,True,False,False,,1314.0,null_sooner,0.855732839647672,0.4288319006595701,null,,
2026-08-26,2026-08-27,29635.5,29580.0,306.25,0.5820408163265306,middle,30.625,-55.5,29691.0,False,False,1380,29596.41416671336,True,True,True,True,1.0,170.0,poc_sooner,0.05359727906402942,0.3088517005278073,poc,150.0,-916.0
2026-08-27,2026-08-31,29518.25,29490.0,375.25,0.1432378414390406,lower,37.525,-28.25,29546.5,False,True,1380,29195.571629464503,True,True,True,True,0.0,0.0,tie,0.7846192419333707,0.9351855310739438,poc,-684.0,-861.0
2026-08-31,2026-09-01,29136.5,29125.0,569.25,0.2160737812911726,lower,56.925000000000004,-11.5,29148.0,False,True,1380,29119.045972707703,True,True,True,True,0.0,0.0,tie,0.010459424316726947,0.05086346472076735,poc,-340.0,-774.0
2026-09-01,2026-09-02,29177.0,29160.0,285.75,0.8145231846019247,upper,28.575000000000003,-17.0,29194.0,False,True,1380,29364.965054210163,True,True,True,True,0.0,0.0,tie,0.7172880287319777,0.5983029018728351,null,887.0,235.0
2026-09-02,2026-09-03,29505.0,29530.0,509.25,0.8934707903780069,upper,50.925000000000004,25.0,29480.0,False,True,1380,29565.56340412418,True,True,True,True,0.0,0.0,tie,0.0698348632777206,0.16801846661596312,poc,689.0,308.0
2026-09-03,2026-09-07,29611.5,29520.0,236.5,0.2198731501057082,lower,23.650000000000002,-91.5,29703.0,False,False,1380,29571.552422725537,True,True,True,True,38.0,219.0,poc_sooner,0.2179806457739422,0.5558037094057618,poc,509.0,-857.0
2026-09-07,2026-09-08,29526.5,29610.0,340.0,0.5448529411764705,middle,34.0,83.5,29443.0,False,False,1380,29476.435772256966,True,True,True,True,186.0,701.0,poc_sooner,0.39283596395010084,0.09834050663813447,null,-1019.0,24.0
2026-09-08,2026-09-09,29458.5,29443.0,300.75,0.3657522859517872,middle,30.075000000000003,-15.5,29474.0,False,True,1380,29210.2202665138,True,True,True,True,0.0,0.0,tie,0.7739974513256882,0.8770730955484646,poc,-865.0,-1135.0
2026-09-09,2026-09-10,29141.0,29150.0,465.0,0.2295698924731183,lower,46.5,9.0,29132.0,False,True,1380,29372.72104340743,True,True,True,True,0.0,0.0,tie,0.4789699858224291,0.5176796632417839,poc,541.0,700.0
2026-09-10,2026-09-14,29200.0,29415.0,459.75,0.8145731375747689,upper,45.975,215.0,28985.0,True,False,1371,29040.0864483109,False,True,False,True,,432.0,null_sooner,0.8154726518523113,0.11981826712539395,null,,169.0
2026-09-14,2026-09-15,28978.25,28995.0,281.25,0.2711111111111111,lower,28.125,16.75,28961.5,False,True,1362,29039.398024274855,True,True,True,True,0.0,0.0,tie,0.1578596418661505,0.27697075297726165,poc,589.0,970.0
