n,ic,n_early,ic_early,n_late,ic_late,n_daily,ic_daily_median,n_pos,n_neg,median_pos,mean_pos,median_neg,mean_neg,n_sign,sign_pct,family,feature,window_s,horizon_s,signed
230856,0.005821744925359343,115413,-0.004524945703295755,115443,0.016006577605055358,26,0.007190371823504961,,,,,,,,,trade,buy_volume,60,60,False
232412,-0.0022652844864870713,116198,-0.002435571454011531,116214,-0.0019283048904026167,26,0.0027640975650215145,,,,,,,,,trade,sell_volume,60,1,False
232296,-0.00029401557960424574,116138,-0.0016009332488479118,116158,0.0012098400898570543,26,0.004505355474460742,,,,,,,,,trade,sell_volume,60,5,False
232026,-0.0013373602160559296,115998,-0.0038568677059959266,116028,0.0015227433350717184,26,0.010965015508533436,,,,,,,,,trade,sell_volume,60,15,False
231636,-0.0020411402945003376,115803,-0.009688460671438425,115833,0.005361618578257894,26,0.008627310582949282,,,,,,,,,trade,sell_volume,60,30,False
230856,0.0007401564440067811,115413,-0.014653747801033493,115443,0.015573179351368798,26,0.0020068181901519385,,,,,,,,,trade,sell_volume,60,60,False
232412,-0.005829642879077771,116198,-0.005070517085856107,116214,-0.006723155973511929,26,-0.007006238402976525,115497.0,116102.0,0.0,-0.006044529295133207,0.0,0.006624562884360304,223498.0,0.4960894504648811,trade,trade_imbalance,60,1,True
232296,-0.0037323654553951344,116138,-0.0001468080027607923,116158,-0.007988488151676668,26,-0.0064000352636891505,115443.0,116040.0,0.0,-0.03277591538681427,0.0,0.03478972768011031,228274.0,0.49758185338671945,trade,trade_imbalance,60,5,True
232026,0.0021775715227906906,115998,0.010921154684885208,116028,-0.007634578374133065,26,-0.003999465961219528,115315.0,115900.0,0.125,-0.0453421064041972,0.0,0.044535159620362384,229399.0,0.5019115166151552,trade,trade_imbalance,60,15,True
231636,-0.0011173146496321457,115803,0.01179864679171741,115833,-0.01621851893550062,26,-0.0019194193082107173,115136.0,115689.0,0.125,-0.12468189792940522,0.125,0.11437993240498233,229648.0,0.49883299658607955,trade,trade_imbalance,60,30,True
230856,0.007082287411088507,115413,0.016334541239768956,115443,-0.005577155543823932,26,0.005995826424955995,114728.0,115320.0,0.375,-0.12073338679311066,0.25,0.08201309399930627,229173.0,0.502781741304604,trade,trade_imbalance,60,60,True
232412,-0.007246370327538471,116198,-0.006850217095467858,116214,-0.007631163473678001,26,-0.007855271102093912,115497.0,116102.0,0.0,-0.006044529295133207,0.0,0.006624562884360304,223498.0,0.4960894504648811,trade,signed_volume,60,1,True
232296,-0.006402999334907775,116138,-0.0023609069380593245,116158,-0.010642327245553944,26,-0.007803656271412524,115443.0,116040.0,0.0,-0.03277591538681427,0.0,0.03478972768011031,228274.0,0.49758185338671945,trade,signed_volume,60,5,True
232026,-0.0016325792110919845,115998,0.006544997205261322,116028,-0.01008271386518518,26,0.0016481274747503854,115315.0,115900.0,0.125,-0.0453421064041972,0.0,0.044535159620362384,229399.0,0.5019115166151552,trade,signed_volume,60,15,True
231636,-0.006734424835502051,115803,0.00638917450698359,115833,-0.020580122744800054,26,-0.0027540126825120366,115136.0,115689.0,0.125,-0.12468189792940522,0.125,0.11437993240498233,229648.0,0.49883299658607955,trade,signed_volume,60,30,True
