split,event_type,band,horizon_min,events,mean_long_return_pts,median_long_return_pts,positive_rate,mfe_pts,mae_pts,retention_rate,time_to_fail_min,fraction_below_60,max_extension_60_pts
Validation,break,1.0-1.5,15,137,-0.4744525547445255,-1.5,0.40145985401459855,10.324817518248175,-10.193430656934307,0.7299270072992701,16.179775280898877,0.28661800486618005,28.611313868613138
Validation,break,1.0-1.5,30,137,-1.4105839416058394,-1.0,0.45255474452554745,14.321167883211679,-14.167883211678832,0.7299270072992701,16.179775280898877,0.28661800486618005,28.611313868613138
Validation,break,1.0-1.5,60,137,-3.877737226277372,-1.5,0.46715328467153283,19.156934306569344,-22.19160583941606,0.6204379562043796,16.179775280898877,0.28661800486618005,28.611313868613138
Validation,break,1.5+,1,184,-0.22554347826086957,-0.75,0.41847826086956524,4.2853260869565215,-4.6209239130434785,0.9565217391304348,18.980392156862745,0.23922101449275363,50.56385869565217
Validation,break,1.5+,5,184,1.3206521739130435,0.0,0.4945652173913043,9.116847826086957,-8.313858695652174,0.8695652173913043,18.980392156862745,0.23922101449275363,50.56385869565217
Validation,break,1.5+,15,184,2.369565217391304,-0.5,0.4673913043478261,15.300271739130435,-12.097826086956522,0.8206521739130435,18.980392156862745,0.23922101449275363,50.56385869565217
Validation,break,1.5+,30,184,2.0869565217391304,-0.125,0.4891304347826087,21.891304347826086,-18.82336956521739,0.7554347826086957,18.980392156862745,0.23922101449275363,50.56385869565217
Validation,break,1.5+,60,184,0.09103260869565218,-4.25,0.42391304347826086,30.616847826086957,-28.949728260869566,0.6467391304347826,18.980392156862745,0.23922101449275363,50.56385869565217
Validation,break,<0.5,1,162,0.12654320987654322,0.25,0.5123456790123457,2.2608024691358026,-2.009259259259259,0.8209876543209876,10.726495726495726,0.3308641975308642,27.006172839506174
Validation,break,<0.5,5,162,-0.30709876543209874,-0.25,0.47530864197530864,4.8765432098765435,-4.554012345679013,0.7469135802469136,10.726495726495726,0.3308641975308642,27.006172839506174
Validation,break,<0.5,15,162,0.09567901234567901,-0.375,0.4691358024691358,7.7592592592592595,-7.569444444444445,0.6358024691358025,10.726495726495726,0.3308641975308642,27.006172839506174
Validation,break,<0.5,30,162,-0.13425925925925927,-0.25,0.47530864197530864,10.291666666666666,-10.688271604938272,0.6296296296296297,10.726495726495726,0.3308641975308642,27.006172839506174
Validation,break,<0.5,60,162,-0.0015432098765432098,1.5,0.5308641975308642,14.445987654320987,-15.290123456790123,0.654320987654321,10.726495726495726,0.3308641975308642,27.006172839506174
Validation,control,0.5-1.0,1,775,0.14709677419354839,0.0,0.4670967741935484,2.414516129032258,-2.03741935483871,0.01806451612903226,1.0752269779507133,0.9368387096774193,-37.44516129032258
Validation,control,0.5-1.0,5,775,-0.4729032258064516,-0.5,0.4503225806451613,4.603225806451613,-4.764516129032258,0.02838709677419355,1.0752269779507133,0.9368387096774193,-37.44516129032258
Validation,control,0.5-1.0,15,775,-0.37,-0.25,0.49290322580645163,7.4316129032258065,-7.679677419354839,0.04645161290322581,1.0752269779507133,0.9368387096774193,-37.44516129032258
Validation,control,0.5-1.0,30,775,-0.053870967741935484,-0.25,0.48258064516129034,10.393870967741936,-10.863225806451613,0.06709677419354838,1.0752269779507133,0.9368387096774193,-37.44516129032258
