sample,period,direction,horizon,n,mfe_mean,mfe_median,mae_mean,mae_median,net,p_positive
excursion_matched,Train,downside_failure_long,2,468,0.060935333688490655,0.047619047619047616,0.07192465271745292,0.055050505050505044,-0.01098931902896226,0.452991452991453
excursion_matched,Train,downside_failure_long,3,468,0.07187566426413503,0.05779352226720648,0.08801134785449978,0.06539558089807555,-0.01613568359036475,0.4551282051282051
excursion_matched,Train,downside_failure_long,5,468,0.09159149641546098,0.07142857142857142,0.1132650351134614,0.08189269746646796,-0.02167353869800041,0.44871794871794873
excursion_matched,Train,downside_failure_long,10,468,0.12866698499989815,0.10714285714285714,0.16477078599858241,0.11733416770963705,-0.03610380099868426,0.4700854700854701
excursion_matched,Train,downside_failure_long,15,468,0.16143162245176254,0.125,0.20321242115880003,0.15645610933569049,-0.04178079870703749,0.4358974358974359
excursion_matched,Train,downside_failure_long,30,468,0.23349649650096374,0.18046132971506107,0.28985146605769335,0.22085472666868017,-0.05635496955672961,0.452991452991453
excursion_matched,Train,upside_failure_short,1,468,0.035421664927304225,0.023122159850307404,0.04394523610066724,0.0346832397754611,-0.00852357117336301,0.4017094017094017
excursion_matched,Train,upside_failure_short,2,468,0.05135951142268776,0.03458931419457735,0.05927511851530419,0.04903813122638269,-0.007915607092616432,0.4166666666666667
excursion_matched,Train,upside_failure_short,3,468,0.0638626521097696,0.046875,0.06959806004284663,0.05644282360831657,-0.005735407933077034,0.42948717948717946
excursion_matched,Train,upside_failure_short,5,468,0.08050729634909434,0.05805527468823728,0.08791207848737712,0.07142857142857142,-0.0074047821382827745,0.4252136752136752
excursion_matched,Train,upside_failure_short,10,468,0.11521879808267928,0.07890316205533597,0.12488774915986449,0.1,-0.009668951077185206,0.4423076923076923
excursion_matched,Train,upside_failure_short,15,468,0.13992088713092382,0.09879482366887286,0.15401463790999317,0.11632919005613472,-0.01409375077906935,0.4465811965811966
excursion_matched,Train,upside_failure_short,30,468,0.20032205920581184,0.14115424252834077,0.2162310393887482,0.17052139037433156,-0.015908980182936353,0.4658119658119658
excursion_matched,Validation,downside_failure_long,1,257,0.04541352182524947,0.03722084367245657,0.048794945479329395,0.03777777777777778,-0.00338142365407992,0.48249027237354086
excursion_matched,Validation,downside_failure_long,2,257,0.0629900221660216,0.04970178926441352,0.06743019083955464,0.05220883534136546,-0.004440168673533039,0.47470817120622566
excursion_matched,Validation,downside_failure_long,3,257,0.07667698519027796,0.06343906510851419,0.083191589517116,0.06557377049180328,-0.006514604326838044,0.48638132295719844
excursion_matched,Validation,downside_failure_long,5,257,0.0924718515604894,0.07407407407407407,0.10458156911797459,0.08349514563106795,-0.01210971755748518,0.48638132295719844
excursion_matched,Validation,downside_failure_long,10,257,0.13039498644754818,0.11439114391143912,0.14305667941903444,0.11083437110834371,-0.012661692971486239,0.5175097276264592
excursion_matched,Validation,downside_failure_long,15,257,0.1602675147759375,0.14331210191082802,0.1783423577512006,0.13673469387755102,-0.018074842975263083,0.5097276264591439
excursion_matched,Validation,downside_failure_long,30,257,0.22661108702346755,0.19172113289760348,0.2492154701255469,0.182548794489093,-0.02260438310207937,0.5097276264591439
excursion_matched,Validation,upside_failure_short,1,257,0.052791781536626975,0.04046242774566474,0.04582014092303665,0.03666666666666667,0.006971640613590331,0.48249027237354086
excursion_matched,Validation,upside_failure_short,2,257,0.07060299837460123,0.056768558951965066,0.06355977624075386,0.05009633911368015,0.007043222133847354,0.5175097276264592
excursion_matched,Validation,upside_failure_short,3,257,0.08324281077967349,0.06554307116104868,0.07648901272712098,0.06382978723404255,0.006753798052552511,0.5214007782101168
excursion_matched,Validation,upside_failure_short,5,257,0.10119413370409422,0.075,0.09713060987651491,0.07692307692307693,0.00406352382757932,0.5175097276264592
excursion_matched,Validation,upside_failure_short,10,257,0.14013750293650895,0.10747051114023591,0.1389841513082767,0.11513157894736842,0.0011533516282322524,0.490272373540856
excursion_matched,Validation,upside_failure_short,15,257,0.1652601845487411,0.12954876273653565,0.17132718935683167,0.1359447004608295,-0.006067004808090552,0.490272373540856
excursion_matched,Validation,upside_failure_short,30,257,0.21768672535229996,0.15991471215351813,0.2421244652053613,0.18329938900203666,-0.024437739853061354,0.44357976653696496
