session_date,year,split,side,relative_volume,reentry_close_min,entry_min,entry,stop,target,target_name,risk_points,reward_r,exit_kind,net_points
2016-09-08,2016,Train,long,0.240637193772879,839,840,4798.0,4789.25,4806.625,ib_mid,8.75,0.9857142857142858,time,2.5
2016-09-08,2016,Train,long,0.240637193772879,839,840,4798.0,4789.25,4818.0,opposite_ib,8.75,2.2857142857142856,time,2.5
2016-09-12,2016,Train,short,0.47143571785892946,649,650,4705.25,4712.75,4681.25,ib_mid,7.5,3.2,stop,-8.5
2016-09-12,2016,Train,short,0.47143571785892946,649,650,4705.25,4712.75,4651.0,opposite_ib,7.5,7.233333333333333,stop,-8.5
2016-09-15,2016,Train,short,0.5037169122519549,644,645,4776.25,4786.0,4761.375,ib_mid,9.75,1.5256410256410255,stop,-10.75
2016-09-15,2016,Train,short,0.5037169122519549,644,645,4776.25,4786.0,4741.25,opposite_ib,9.75,3.58974358974359,stop,-10.75
2016-09-26,2016,Train,long,0.46336941054719505,829,830,4812.0,4807.25,4821.25,ib_mid,4.75,1.9473684210526316,time,2.5
2016-09-26,2016,Train,long,0.46336941054719505,829,830,4812.0,4807.25,4830.75,opposite_ib,4.75,3.9473684210526314,time,2.5
2016-10-03,2016,Train,short,0.565733270052207,659,660,4862.75,4869.0,4856.125,ib_mid,6.25,1.06,target,5.625
2016-10-03,2016,Train,short,0.565733270052207,659,660,4862.75,4869.0,4848.0,opposite_ib,6.25,2.36,target,13.75
2016-10-05,2016,Train,short,0.5117053061533225,714,715,4883.5,4884.75,4875.375,ib_mid,1.25,6.5,stop,-2.25
2016-10-05,2016,Train,short,0.5117053061533225,714,715,4883.5,4884.75,4867.0,opposite_ib,1.25,13.2,stop,-2.25
2016-10-10,2016,Train,short,0.4535345679271856,664,665,4897.0,4901.75,4890.875,ib_mid,4.75,1.2894736842105263,target,5.125
2016-10-10,2016,Train,short,0.4535345679271856,664,665,4897.0,4901.75,4882.5,opposite_ib,4.75,3.0526315789473686,time,5.5
2016-10-12,2016,Train,short,0.32557498967084425,814,815,4822.5,4824.0,4811.5,ib_mid,1.5,7.333333333333333,stop,-2.5
2016-10-12,2016,Train,short,0.32557498967084425,814,815,4822.5,4824.0,4800.25,opposite_ib,1.5,14.833333333333334,stop,-2.5
2016-11-09,2016,Train,short,0.49542696668169056,729,730,4794.0,4829.0,4769.75,ib_mid,35.0,0.6928571428571428,stop,-36.0
2016-11-09,2016,Train,short,0.49542696668169056,729,730,4794.0,4829.0,4738.0,opposite_ib,35.0,1.6,stop,-36.0
2016-11-11,2016,Train,short,0.39177660014281956,764,765,4746.75,4756.5,4728.125,ib_mid,9.75,1.9102564102564104,target,17.625
