stop_rule,target_r,filter,period,n,E,PF,win
0.75x_ib_width,2.0,early,Train,970,-0.1686855670103093,0.9831542371790747,0.4268041237113402
0.75x_ib_width,2.0,early,Validation,496,9.026839717741936,1.21802460944752,0.5100806451612904
0.75x_ib_width,2.0,high_volume,Inner,195,7.428846153846154,1.3111809247623651,0.47692307692307695
0.75x_ib_width,2.0,high_volume,OOS,85,11.644117647058824,1.2198833657317412,0.43529411764705883
0.75x_ib_width,2.0,high_volume,Train,481,0.45647089397089397,1.0455057708001398,0.42203742203742206
0.75x_ib_width,2.0,high_volume,Validation,188,11.876329787234043,1.3262763722714404,0.5
0.75x_ib_width,2.0,highvol_early,Inner,167,10.811751497005988,1.4658389099411433,0.47305389221556887
0.75x_ib_width,2.0,highvol_early,OOS,69,21.276268115942027,1.4248557527085934,0.4782608695652174
0.75x_ib_width,2.0,highvol_early,Train,387,0.7937661498708011,1.0750026704918283,0.4289405684754522
0.75x_ib_width,2.0,highvol_early,Validation,164,13.481326219512194,1.3715588139527555,0.5121951219512195
0.75x_ib_width,2.0,low_volume,Inner,210,11.952380952380953,1.7764887857695282,0.5761904761904761
0.75x_ib_width,2.0,low_volume,OOS,136,4.015625,1.0970522247151075,0.5441176470588235
0.75x_ib_width,2.0,low_volume,Train,481,-1.4987006237006237,0.8083734839674365,0.4261954261954262
0.75x_ib_width,2.0,low_volume,Validation,201,1.5276741293532339,1.039896057493199,0.48756218905472637
1.00x_ib_width,0.75,all,Inner,677,4.09647341211226,1.171621182586095,0.5775480059084195
1.00x_ib_width,0.75,all,OOS,370,3.2964527027027026,1.0650421949366076,0.5540540540540541
1.00x_ib_width,0.75,all,Train,1441,-1.0058553088133242,0.8880419040262625,0.49410131852879946
1.00x_ib_width,0.75,all,Validation,695,3.6490107913669063,1.0965613250202275,0.5726618705035971
1.00x_ib_width,0.75,early,Inner,464,3.3677262931034484,1.1284894955392015,0.5797413793103449
1.00x_ib_width,0.75,early,OOS,266,2.4400845864661656,1.0436029424113666,0.5639097744360902
1.00x_ib_width,0.75,early,Train,970,-1.052319587628866,0.8929245777824399,0.5010309278350515
1.00x_ib_width,0.75,early,Validation,496,6.241683467741935,1.1577435544685621,0.592741935483871
1.00x_ib_width,0.75,high_volume,Inner,195,7.55448717948718,1.3375823546261816,0.5487179487179488
1.00x_ib_width,0.75,high_volume,OOS,85,11.790441176470589,1.2319341587595465,0.5294117647058824
1.00x_ib_width,0.75,high_volume,Train,481,-0.39514033264033266,0.9587246864650633,0.501039501039501
1.00x_ib_width,0.75,high_volume,Validation,188,8.563829787234043,1.2456515105279218,0.5851063829787234
1.00x_ib_width,0.75,highvol_early,Inner,167,7.9782934131736525,1.3581412539479873,0.5329341317365269
