session,condition,regime,T_offset,horizon,frac,split,n,n_unc,rate,p_resolve,unc_p_resolve,delta,mean_already_moving,mean_share_pre
NY_AM,vol_expansion_high,HIGH,15,20,0.35,OOS,143,412,0.3470873786407767,0.916083916083916,0.7378640776699029,0.17821983841401312,0.8391608391608392,0.006451180453139847
NY_AM,vol_expansion_high,HIGH,15,30,0.35,OOS,143,412,0.3470873786407767,0.965034965034965,0.8033980582524272,0.16163690678253784,0.8391608391608392,0.005543558893057514
NY_AM,vol_expansion_high,HIGH,15,45,0.35,OOS,143,412,0.3470873786407767,0.9790209790209791,0.8737864077669902,0.10523457125398883,0.8391608391608392,0.004789133990487398
NY_AM,vol_expansion_high,HIGH,15,10,0.15,ALL,1182,3598,0.3285158421345192,0.9864636209813875,0.9294052251250695,0.057058395856318,0.8570219966159053,0.015646742243667563
NY_AM,vol_expansion_high,HIGH,15,15,0.15,ALL,1182,3598,0.3285158421345192,0.9974619289340102,0.9652584769316287,0.032203452002381505,0.8570219966159053,0.012805559893676842
NY_AM,vol_expansion_high,HIGH,15,20,0.15,ALL,1182,3598,0.3285158421345192,0.9991539763113367,0.980544747081712,0.018609229229624713,0.8570219966159053,0.01090638858187435
NY_AM,vol_expansion_high,HIGH,15,30,0.15,ALL,1182,3598,0.3285158421345192,0.9991539763113367,0.9897165091717621,0.009437467139574607,0.8570219966159053,0.009099980562770052
NY_AM,vol_expansion_high,HIGH,15,45,0.15,ALL,1182,3598,0.3285158421345192,1.0,0.9952751528627015,0.004724847137298482,0.8570219966159053,0.00791250116403227
NY_AM,vol_expansion_high,HIGH,15,10,0.25,ALL,1182,3598,0.3285158421345192,0.8790186125211505,0.7070594774874931,0.17195913503365745,0.8570219966159053,0.015646742243667563
NY_AM,vol_expansion_high,HIGH,15,15,0.25,ALL,1182,3598,0.3285158421345192,0.9483925549915397,0.8162868260144525,0.13210572897708728,0.8570219966159053,0.012805559893676842
NY_AM,vol_expansion_high,HIGH,15,20,0.25,ALL,1182,3598,0.3285158421345192,0.9788494077834179,0.8782657031684269,0.100583704614991,0.8570219966159053,0.01090638858187435
NY_AM,vol_expansion_high,HIGH,15,30,0.25,ALL,1182,3598,0.3285158421345192,0.9957698815566836,0.9274596998332407,0.06831018172344283,0.8570219966159053,0.009099980562770052
NY_AM,vol_expansion_high,HIGH,15,45,0.25,ALL,1182,3598,0.3285158421345192,0.9991539763113367,0.9552529182879378,0.04390105802339894,0.8570219966159053,0.00791250116403227
NY_AM,vol_expansion_high,HIGH,15,10,0.35,ALL,1182,3598,0.3285158421345192,0.6818950930626058,0.47387437465258475,0.208020718410021,0.8570219966159053,0.015646742243667563
NY_AM,vol_expansion_high,HIGH,15,15,0.35,ALL,1182,3598,0.3285158421345192,0.8291032148900169,0.6192329071706504,0.20987030771936654,0.8570219966159053,0.012805559893676842
